Date,Open,High,Low,Close,Volume,OpenInt
4/21/2005,33.946,34.034,32.994,33.506,968770,0
4/22/2005,33.516,33.888,33.071,33.506,538730,0
4/25/2005,33.632,34.269,33.556,34.269,1070447,0
4/26/2005,34.113,34.745,34.064,34.547,1041941,0
4/27/2005,34.566,35.277,34.566,35.11,1482041,0
4/28/2005,34.902,35.149,34.725,35.08,1862844,0
4/29/2005,35.139,35.297,34.833,35.001,1801409,0
5/2/2005,35.1,35.495,34.665,34.813,999868,0
5/3/2005,34.902,35.149,34.794,34.852,952915,0
5/4/2005,35.04,35.485,35.021,35.396,1604452,0
5/5/2005,35.426,36.014,35.336,35.986,821664,0
5/6/2005,36.209,36.368,35.956,36.083,891175,0
5/9/2005,36.111,36.259,35.708,35.906,761754,0
5/10/2005,35.857,36.063,35.563,35.708,536597,0
5/11/2005,35.708,35.768,35.178,35.524,517235,0
5/12/2005,35.553,35.592,34.862,34.862,1098804,0
5/13/2005,34.764,35.06,34.665,34.852,971818,0
5/16/2005,35.129,35.327,34.971,35.267,878980,0
5/17/2005,35.416,36.279,35.366,35.946,1211307,0
5/18/2005,36.083,36.437,35.817,36.189,1300944,0
5/19/2005,38.053,39.054,38.053,38.355,3890325,0
5/20/2005,38.375,39.262,38.336,38.995,1885405,0
5/23/2005,38.837,39.262,38.797,39.014,1244081,0
5/24/2005,39.014,39.064,38.688,38.857,1107188,0
5/25/2005,38.896,38.975,38.718,38.797,790260,0
5/26/2005,39.281,39.281,38.867,38.946,1052613,0
5/27/2005,38.896,38.936,38.404,38.64,770443,0
5/31/2005,38.807,39.014,38.326,38.876,1842111,0
6/1/2005,38.936,39.516,38.778,39.466,1026544,0
6/2/2005,39.546,40.342,39.506,40.019,2079007,0
6/3/2005,40.166,40.216,39.753,40.01,1095909,0
6/6/2005,40.226,40.827,40.226,40.629,1202005,0
6/7/2005,40.609,41.258,40.59,41.061,1267252,0
6/8/2005,41.317,41.327,40.934,41.012,1150785,0
6/9/2005,40.964,41.416,40.827,41.396,785534,0
6/10/2005,41.327,41.652,41.258,41.456,548484,0
6/13/2005,41.406,41.495,41.089,41.159,836753,0
6/14/2005,41.248,41.436,41.08,41.248,1253991,0
6/15/2005,41.248,41.258,40.807,41.061,1109170,0
6/16/2005,41.061,41.288,41.021,41.198,970905,0
6/17/2005,41.208,41.612,41.119,41.515,1375638,0
6/20/2005,41.515,41.572,41.021,41.515,606414,0
6/21/2005,41.622,42.322,41.622,42.164,613274,0
6/22/2005,42.341,42.882,42.341,42.654,762213,0
6/23/2005,42.634,42.664,42.174,42.312,1258717,0
6/24/2005,42.282,42.302,41.327,41.553,1241644,0
6/27/2005,41.553,42.006,41.533,41.907,793461,0
6/28/2005,42.016,42.951,42.016,42.733,365859,0
6/29/2005,42.753,43.327,42.733,42.793,681415,0
6/30/2005,42.803,42.832,42.252,42.341,657787,0
7/1/2005,42.467,43.307,42.467,43.07,750929,0
7/5/2005,43.07,43.465,42.892,43.03,761144,0
7/6/2005,43.03,43.307,42.183,42.243,845445,0
7/7/2005,42.243,42.243,41.612,41.907,873646,0
7/8/2005,41.946,42.282,41.887,42.164,620592,0
7/11/2005,42.213,42.39,41.887,41.937,639038,0
7/12/2005,41.976,42.243,41.711,42.243,591172,0
7/13/2005,42.243,42.467,41.996,42.282,504889,0
7/14/2005,43.1,43.228,42.783,42.852,973040,0
7/15/2005,42.921,43.001,42.576,42.644,869225,0
7/18/2005,42.684,43.697,42.654,43.619,742848,0
7/19/2005,43.619,43.964,43.268,43.934,870902,0
7/20/2005,43.776,43.954,43.405,43.747,376226,0
